run_id,date,algorithm,env,seed,total_timesteps,n_envs,eval_mean,eval_std,learning_rate,gamma,gae_lambda,clip_epsilon,num_epochs,minibatch_size,max_grad_norm,ent_coef,ent_coef_schedule,ent_coef_schedule_type,frames_per_batch,component_weights,hidden_size,activation,adam_eps,lr_anneal,normalize_advantage,device,framework,status,comp/angle_mean,comp/angle_std,comp/balance_mean,comp/balance_std,comp/borrow_cost_mean,comp/borrow_cost_std,comp/center_mean,comp/center_std,comp/costs_mean,comp/costs_std,comp/crash_mean,comp/crash_std,comp/ctrl_cost_mean,comp/ctrl_cost_std,comp/dense_mean,comp/dense_std,comp/distance_mean,comp/distance_std,comp/energy_mean,comp/energy_std,comp/entry_gain_mean,comp/entry_gain_std,comp/entry_loss_mean,comp/entry_loss_std,comp/entry_pnl_mean,comp/entry_pnl_std,comp/fuel_main_mean,comp/fuel_main_sparsity,comp/fuel_main_std,comp/fuel_side_mean,comp/fuel_side_sparsity,comp/fuel_side_std,comp/hold_gain_mean,comp/hold_gain_std,comp/hold_loss_mean,comp/hold_loss_std,comp/hold_pnl_mean,comp/hold_pnl_std,comp/landing_mean,comp/landing_sparsity,comp/landing_std,comp/leg_left_mean,comp/leg_left_std,comp/leg_right_mean,comp/leg_right_std,comp/pnl_gain_mean,comp/pnl_gain_std,comp/pnl_loss_mean,comp/pnl_loss_std,comp/pnl_mean,comp/pnl_std,comp/residual_mean,comp/residual_std,comp/run_mean,comp/run_std,comp/shaping_mean,comp/shaping_sparsity,comp/shaping_std,comp/spread_proxy_mean,comp/spread_proxy_std,comp/txn_cost_mean,comp/txn_cost_std,comp/velocity_mean,comp/velocity_std,comp/ctrl_bfoot_mean,comp/ctrl_bfoot_std,comp/ctrl_bhip_mean,comp/ctrl_bhip_std,comp/ctrl_bknee_mean,comp/ctrl_bknee_std,comp/ctrl_ffoot_mean,comp/ctrl_ffoot_std,comp/ctrl_fhip_mean,comp/ctrl_fhip_std,comp/ctrl_fknee_mean,comp/ctrl_fknee_std,comp/ctrl_j01_mean,comp/ctrl_j01_std,comp/ctrl_j0_mean,comp/ctrl_j0_std,comp/ctrl_j1_mean,comp/ctrl_j1_std,comp/ctrl_j23_mean,comp/ctrl_j23_std,comp/ctrl_j2_mean,comp/ctrl_j2_std,comp/ctrl_j3_mean,comp/ctrl_j3_std,comp/ctrl_j45_mean,comp/ctrl_j45_std,comp/velocity_bwd_mean,comp/velocity_bwd_std,comp/velocity_fwd_mean,comp/velocity_fwd_std,comp/pnl_step_mean,comp/pnl_step_std,comp/risk_events_mean,comp/risk_events_std,comp/bankruptcy_mean,comp/bankruptcy_std,comp/var_breach_mean,comp/var_breach_std,comp/alive_mean,comp/alive_std,comp/forward_mean,comp/forward_std
00a1a26cbfea,2026-04-12,torchrl-pcz-ppo-running,reacher,43,100000,4,84.33,0.55,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,,,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01d65d7dbecf,2026-04-11,torchrl-ppo,lunarlander-k8,42,500000,4,,,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01f100e5f0dc,2026-04-11,torchrl-pcz-ppo-running,lunarlander-k2,42,500000,4,,,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,6.00",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0387c6924906,2026-04-11,torchrl-pcz-ppo-running,lunarlander,46,500000,4,,,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,5.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071816593e33,2026-04-11,torchrl-pcz-ppo-running,lunarlander-k8,42,500000,4,,,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07f5bd546555,2026-04-11,torchrl-ppo,lunarlander-k8,45,500000,4,,,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50",,,,,,,,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084cfaa11367,2026-04-11,torchrl-pcz-ppo-running,lunarlander,42,5000,2,,,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,4096.0,"10.00,5.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09d248815f90,2026-04-11,torchrl-ppo-weighted-running,lunarlander,42,500000,4,182.17,56.19,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,5.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d7b3db3b9ff,2026-04-11,torchrl-ppo,lunarlander-k8,42,500000,4,-234.6,148.87,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0dd60162b8ca,2026-04-11,torchrl-ppo,lunarlander,43,200000,4,-175.17,76.33,0.0003,0.99,0.95,,,,,,0.1:0.01,cosine,8192.0,"10.00,5.00,0.50,0.50",,,,,,,,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
